產品名稱	核心成分與特性	解決痛點	適合膚質
自白肌 玻尿酸涼感防曬乳液	CPA 酷涼因子、大分子玻尿酸、保濕 R-PGA	炎夏出門皮膚發燙、防曬乳過於黏悶、需要補水保濕	所有膚質、特別適合高溫戶外或機車族
理膚寶水 全護極致抗陽 (UVMUNE 400)	獨家專利濾鏡 Mexoryl 400。	一般防曬擋不住的超長波 UVA (曬老、曬深主因)。	所有膚質、預防老化的首選
Anessa 安耐曬 金鑽高效防曬露	自動修復技術 (Auto Repair)、耐水耐汗。	戶外活動、海邊戲水、防曬乳因表情動作產生裂隙。	戶外運動、易流汗者
雅漾 Avene 超能控油清爽防曬	TriAsorB 專利濾鏡 (抗藍光)、單月桂酸酯。	長時間面對螢幕、油光滿面、醫美術後極脆弱期。	油性肌、電腦族、術後肌
AHC 向日葵強力防曬棒	旋轉設計不沾手、向日葵籽油、高係數。	外出補擦防曬超麻煩、不想用手塗抹弄髒衣服。	懶人族、戶外補擦首選
專科 全效防曬水凝乳 (亮顏粉)	富士櫻花精華、雙重玻尿酸、粉色校正。	氣色蒼白、不想化妝但想提升臉部粉嫩感。	蠟黃肌、追求偽素顏者
Neogence 霓淨思 全天候極效抗陽	海洋友善配方、高穩定防護技術。	潛水/衝浪需求、擔心化學成分傷害珊瑚礁。	環保主義者、戶外運動
曼秀雷敦 SUNPLAY 戶外強效型	耐水、耐汗、耐摩擦、極致輕薄噴霧。	大面積身體防曬補擦困難、運動時的黏膩負擔。	登山、路跑、戶外工作者
貝膚黛瑪 全能強效防曬乳	SUN ACTIVE DEFENSE 專利、純物理配方。	極度對化學防曬過敏、雷射術後滲透期。	極敏肌、術後修復肌
CeraVe 適樂膚 保濕防曬乳	高效三重神經醯胺、MVE 緩釋技術。	防曬後皮膚乾癢、屏障受損、不喜歡香料。	乾癢肌、敏感肌
ROUND LAB 白樺樹補水防曬	白樺樹汁、玻尿酸、清爽精華質地。	韓系保養愛好者、想要像擦保濕精華一樣的防曬。	中性肌、混合肌 (韓系控)
Skin Aqua 超保濕水感防曬露	4 重保濕成分、水感轉化技術。	預算極限小資族、追求像水一樣完全無存在感。	一般肌、學生族 (高 CP 值)
Curél 潤浸保濕輕透防曬乳	潤浸保濕 Ceramide 成分、物理防曬粉體。	異位性皮膚炎、乾燥導致的屏障功能低下。	乾燥敏感肌 (日系專精)
d program 敏感話題 淨化隔隔離	過敏防禦科技、阻隔過敏原 (花粉、PM2.5)。	換季皮膚癢、環境污染敏感、氣色蠟黃。	環境敏感肌、蠟黃肌
Anessa 安耐曬 臉部濾鏡防曬	美肌光轉化技術、將 UV 轉為美肌光。	追求臉部澎潤感、不想化妝但想有高級光澤。	乾性至混合肌 (熟齡推薦)
My Beauty Diary 蜜若藍高保濕防曬	蜜若藍萃取 (不死草)、高滲透水膜。	長時間待在冷氣房、防曬後出現乾紋。	辦公室族、缺水肌
理膚寶水 全護極致抗陽 (UVMUNE 400)	獨家專利濾鏡 Mexoryl 400。	一般防曬擋不住的超長波 UVA (曬老、曬深主因)。	所有膚質、抗老需求
Anessa 安耐曬 金鑽高效防曬露	自動修復技術 (Auto Repair)、耐水耐汗。	戶外活動、海邊戲水、防曬乳因表情動作產生裂隙。	戶外運動、易流汗者
雅漾 Avene 超能控油清爽防曬	TriAsorB 專利濾鏡 (抗藍光)。	長時間面對電腦螢幕、油光滿面、醫美術後脆弱期。	油性肌、電腦族、術後肌
AHC 向日葵強力防曬棒	旋轉設計不沾手、向日葵籽油。	外出補擦防曬麻煩、不想用手塗抹弄髒衣服。	懶人族、戶外補擦首選
ROUND LAB 白樺樹補水防曬	白樺樹汁、玻尿酸、清爽精華質地。	韓系保養愛好者、想要像擦保濕精華一樣的感觸。	中性肌、混合肌 (韓系控)
Curél 潤浸保濕輕透防曬乳	潤浸保濕 Ceramide (神經醯胺)。	異位性皮膚炎、乾燥導致的屏障功能低下。	乾燥敏感肌 (日系專精)
貝膚黛瑪 全能強效防曬乳	SUN ACTIVE DEFENSE 專利、純物理配方。	極度對化學防曬過敏、雷射術後滲透期。	極敏肌、術後修復肌
Skin Aqua 超保濕水感防曬露	4 重保濕成分、水感轉化技術。	預算極限小資族、追求像水一樣完全無存在感。	一般肌、學生族 (高 CP)
曼秀雷敦 SUNPLAY 戶外強效噴霧	耐水、耐汗、耐摩擦、極致輕薄。	大面積身體防曬補擦困難、運動時的黏膩負擔。	登山、路跑、機車族
Dr.Satin 魚子校色隔離防曬 (綠)	魚子精華、微脂囊包覆、綠色修容。	臉部泛紅、痘疤明顯、防曬同時想遮蓋紅感。	泛紅肌、痘痘瑕疵肌
面膜			
未來美 8分鐘極速/外泌體面膜	PDRN 外泌體、超纖維膜布	沒時間保養、醫美術後急救、皮膚粗糙無光	醫美術後、繁忙小資女
肌研 光透潤系列 (美白/保濕)	4重玻尿酸、傳明酸(美白款)	皮膚缺水暗沉、追求像日系透明感的膚質	乾性肌、一般肌
提提研 黑面膜系列 (金箔/浸潤)	備長炭纖維、金箔、長效保濕因子	毛孔髒污堆積、長效補水需求、面膜服貼度要求高	所有膚質 (尤其是混合肌)
提提研 超級纖維超導水	蘑菇萃取、極細纖維抓水力	面膜精華滴落、吸收速度慢	所有膚質、追求極致服貼感
NARUKO 茶樹痘痘黑面膜	茶樹精油、鋸棕櫚、神奇痘痘配方	生理期爆痘、油脂分泌旺盛、毛孔發炎	油性肌、痘痘肌
專科 極輕透保濕系列	蠶絲蛋白精華、玄米油、無酒精配方	皮膚緊繃不適、需要溫和低負擔的補水	敏感肌、缺水肌
我的心機 安瓶+面膜組	高效能安瓶精華、鎖水薄膜	皮膚遇到瓶頸期(吸收不良)、需要高強度補水	乾性肌、熬夜急救
OLAY 水感透白面膜	煙醯胺 (B3)、亮白維他命精華	膚色蠟黃暗沉、需要密集美白	蠟黃肌、熟齡肌
霓淨思 無針水光維他命 C/E	水光導入技術、維他命 C (美白) / E (潤澤)。	膚色暗沉不均、換季導致的臉部乾燥緊繃。	暗沉肌、乾燥肌
提提研 保濕金箔黑面膜 (Plus)	備長炭黑纖維、真實金箔、非洲生命樹精華。	精華吸收效率差、皮膚疲憊無光澤。	疲憊肌、混合偏乾
肌研 光透潤玻尿酸緊緻面膜	5 重玻尿酸、超細纖維膜布。	缺水造成的細紋、底妝不服貼、深層乾燥。	極乾肌、缺水肌
NARUKO 茶樹痘痘晚安凍膜	茶樹精油、晚安封存技術 (免洗)。	夜間油脂分泌過旺、懶人保養不想敷片狀面膜。	油性肌、混合肌
BIAEffect 醫美級安瓶面膜	安瓶級精華、高濃度玻尿酸、膠原蛋白。	平價面膜保濕力不足、需要醫美診所般的封存感。	一般膚質、小資族
Bella Beauty 蘆薈保濕凝膠	高純度蘆薈萃取、大容量 (300ml)。	戶外曝曬後發紅發燙、除毛後皮膚脆弱。	曬後肌、全家人適用
NARUKO 森玫瑰水立方保濕面膜	大馬士革玫瑰萃取、活水晶球分子、補水膜技術。	乾渴荒廢肌、肌膚暗沉無光、水分流失快。	乾性肌、缺水肌
天天美麗 Pro+ 水光舒緩安瓶面膜	高濃度安瓶精華、積雪草舒緩、水光導入技術。	膚況不穩導致的泛紅、環境刺激引起的躁動。	敏感肌、受損肌
肌研 光透潤酵母後生元保濕面膜	後生元 (Postbiotics)、酵母精華、肌底修復。	皮膚屏障脆弱、保養品吸收效率不佳。	所有膚質、混合肌
41度C 蒸氣眼罩 (經典綜合組)	恆溫蒸氣技術、多種植萃香氛 (艾草/金木犀等)。	長時間用眼過度、眼周沉重、睡眠品質不佳。	所有膚質 (眼部護理)
BANOBAGI PDRN 外泌體毛孔調理	PDRN (鮭魚DNA)、外泌體、毛孔緊緻因子。	毛孔粗大、皮膚彈性疲乏、醫美後的細緻修復。	粗大毛孔肌、油性肌
露得清 速效保水安瓶面膜	玻尿酸恆濕膜、高純度安瓶精華注入。	戶外活動後大量缺水、上妝前肌膚起皮。	極乾肌、需急救肌
SEXYLOOK 海茴香外泌體水光面膜	海茴香幹細胞萃取、外泌體滲透技術、水光配方。	修復力不足導致的疲憊感、追求韓式水光透亮感。	輕熟肌、暗沉肌
SKINTIFIC 火山固體泥膜棒	火山泥、不髒手旋轉設計、溫和吸油。	懶得洗泥膜、 T 字部位出油、黑頭粉刺困擾。	油性肌、混合偏油
DR.WU 玻尿酸保濕微導面膜	大、小、微分子玻尿酸、微導棉科技 (極細纖維)。	傳統面膜太厚不服貼、保濕成分停留在表面無法滲透。	乾性肌、敏弱肌
霓淨思 無針水光維他命 B 保濕	維他命 B5 + B6、獨家水光導入科技。	換季脫皮、肌膚屏障受損、怎麼補水都覺得乾。	受損肌、壓力肌
寵愛之名 極潤保濕礦物雲絲膜	雲絲膜材質、多元礦物精華 (銅/鋅/鎂)。	面膜精華滴滴答答、一般纖維膜容易造成過敏。	術後肌、極敏感肌
MEDIHEAL 高效特強保濕護理棉	3 重保濕配方、100% 親膚純棉片。	沒時間敷全臉面膜、T 字或兩頰局部乾燥脫屑。	混合肌 (局部修復)
護妍天使 光透美白爽膚棉	傳明酸 + 維他命 C、雙軌阻黑技術。	膚色蠟黃、痘疤留下的黑色素沉澱。	暗沉肌、瑕疵肌
My Beauty Diary 黑珍珠煥白面膜	大溪地黑珍珠萃取、極絲裸膚水凝布。	皮膚缺乏光澤、開架面膜精華液太稀。	一般肌、暗沉肌
森田藥妝 玻尿酸複合精華面膜	日本進口玻尿酸、神經醯胺。	預算有限但需要天天補水、追求極高性價比。	學生族、所有膚質
Apivita 仙人掌滋潤面膜 (泥狀)	仙人掌精萃、希臘天然植萃配方。	片狀面膜容易悶痘、追求像 SPA 般的鎮靜感受。	全膚質 (特別推薦曬後)
豐台灣 蘆薈絲瓜沁潤面膜	台灣在地植萃、天然真蠶絲膜布 (超薄透氣)。	敷完面膜後的黏膩感、一般面膜紙不夠服貼。	混合肌、油性肌
ampm B5 藍銅舒緩保濕面膜	藍銅胜肽 + B5、專為壓力肌設計。	換季癢、皮膚泛紅、保養品吸收後仍覺得乾癢。	敏弱肌、醫美術後
霓淨思 N7 跑趴超貼妝面膜	羽透水凝膜、酵母萃取、玻尿酸。	底妝不服貼、起皮、熬夜後氣色暗沈。	所有膚質 (妝前急救)
Dr.Satin 頂級魚子高效保濕面膜	魚子精華、微脂囊包覆技術、高單價醫美級。	輕熟齡細紋、肌膚失去彈力、深度缺水。	乾性肌、熟齡肌
Melano CC 高浸透維他命 C 面膜	純維他命 C + E、檸檬萃取 (集中亮白)。	戶外活動後的曬後暗沈、痘疤留下的色素問題。	暗沉肌、全家適用
Frozhelen 皮可肽肌光修護面膜	獨家 Picotide-55® 胜肽、洋甘菊萃取。	高強度醫美後的極速修復、曬傷後的發燙感。	極敏肌、術後修復
JMSolution 醫美級安瓶緊緻面膜	安瓶精華封存、多重膠原蛋白。	皮膚鬆弛沒精神、想要一次性灌入高濃度營養。	混合偏乾、疲憊肌
雪芙蘭 米淨水潤修護面膜	花蓮有機米萃取、純淨無添加。	追求純素/植萃保養、預算有限的日常消耗品。	一般肌、小資族
毛穴撫子 日本國產米面膜	100% 日本產米精華、厚實純棉材質。	毛孔乾燥開裂、肌膚紋理粗糙不平整。	乾燥肌、毛孔肌
BCL Saborino 早安面膜	洗臉+保養+妝前三合一、薄荷清爽感。	早上賴床沒時間洗臉保養、消除臉部浮腫。	混油肌 (忙碌族)
曼秀雷敦 Acnes 抗痘補水面膜	Isopropyl Methylphenol、舒緩控油配方。	青春期大面積冒痘、生理期前的爆痘預兆。	油性肌、青春痘肌
Dr. Morita 森田藥妝 六重玻尿酸	日系複合玻尿酸、神經醯胺、高濃度原液。	基礎保濕面膜總覺得不夠持久、隔天起床臉發乾。	一般肌、小資族
LuLuLun 區域限定/保養系列	精準平衡配方、無香料/色素/酒精。	每天敷臉但怕負擔太重、追求溫和的穩定感。	敏感肌、天天敷族
肌美精 超浸透 3D 立體面膜	3D 剪裁 (連下顎都能包住)、高純度維他命 C。	面膜鼻翼兩側敷不到、下巴與頸部交界處乾燥。	所有臉型 (全方位)
未來美 1.5% A醇精華面膜	高活性 A 醇 (Retinol)、積雪草修復。	想要嘗試 A 醇抗老但怕脫皮、毛孔粗大暗沈。	熟齡肌 (早C晚A族)
SexyLook 酵素亮白雙拉提面膜	天然酵素萃取、掛耳式拉提設計。	臉部線條鬆弛、想要邊敷臉邊物理性拉提。	鬆弛肌、暗
Torriden 玻尿酸深層補水面膜	5D 複合玻尿酸、極致清爽水感技術。	敷完面膜後的黏膩感（夏天最痛）、深層缺水。	油性肌、混合肌 (韓系控)
LEADERS 麗得姿 胺基酸補水面膜	17 種胺基酸複合物、親膚天然纖維。	皮膚角質層受損、換季導致的莫名脫屑。	敏弱肌、屏障受損肌
我的心機 晶球長效保濕面膜	植萃精華微晶球、爆水質地。	保濕效果不持久、敷完半小時臉就乾了。	一般肌、乾燥肌
Mediplus 美樂思 酵素洗顏/面膜	活性能量酵素、溫和代謝角質。	黑頭粉刺堆積、皮膚摸起來一粒一粒的。	粗糙肌、粉刺肌
Dr.Satin 頂級魚子膠原彈力面膜	魚子精華 + 膠原蛋白、微脂囊滲透。	臉部線條下垂、法令紋與乾紋明顯。	熟齡肌、鬆弛肌
Simple 清妍 極致補水長效面膜	角蛋白補水科技、無香料/色素/酒精。	只要敷臉就過敏發紅、追求極簡護理。	極敏感肌、純素保養者
Bio-essence 碧歐斯 24K 生物金	24K 金箔精華、生物能量複合素。	氣色暗沈蠟黃、參加重要場合前需要「發光」。	暗沈肌、疲憊肌
Abib 魚腥草口香糖面膜	魚腥草萃取 (修復)、超強吸附膜布。	皮膚發燙、紅腫、處於發炎臨界點。	痘痘肌、曬後泛紅肌
Frozhelen 皮可肽肌光修護	獨家 Picotide-55® (急救肽)、洋甘菊。	醫美課程後的脆弱、曬傷後的泛紅躁動。	極敏肌、醫美後
Torriden 玻尿酸深層補水面膜	5D 複合玻尿酸、極致清爽水感。	韓系保養愛好者追求的「爆水感」、夏天不愛黏膩。	油性/混合肌 (韓系控)
品木宣言 泥娃娃活性碳面膜	活性碳、白瓷土、深層吸附力。	毛孔堵塞、黑頭粉刺、感覺洗臉洗不乾淨。	油性肌、毛孔粗大
Beauty of Joseon 複方人蔘眼部精華	視黃醛 (Retinal)、人蔘根萃取。	眼周細紋、黑眼圈、追求溫和的抗老 (早C晚A)。	全膚質 (眼部專精)
AXIS-Y 611 亮白淡斑精華面膜	5% 菸鹼醯胺 (B3)、米糠萃取。	痘疤印痕、膚色暗沈不均、想要有感提亮。	瑕疵肌、暗沉肌
Annies Way 胜肽薔薇賦活面膜	胜肽、薔薇萃取、絲羽膜材質。	想要維持彈力、不喜歡傳統面膜紙的粗糙感。	輕熟肌、缺水肌
Dr. Althea 345 屏障修復霜面膜	神經醯胺 + 泛醇 (B5)。	皮膚屏障受損、莫名發癢、風吹日曬後的刺痛。	受損肌、屏障受損
我的心機 晶球長效保濕面膜	植萃精華微晶球、長效緩釋技術。	面膜精華蒸發太快、敷完一小時後就無感。	一般肌、乾燥肌
唇部			
妮維雅 超能防曬護唇膏	SPF50 高防曬係數、乳木果油、維他命E。	唇部曬黑、曬乾、因紫外線導致的唇紋加深。	所有膚質、戶外族 (唯一高係數選擇)
曼秀雷敦 頂級濃潤柔霜潤唇膏	遇唇溫融化技術、多重賽洛美 (Ceramide)。	嘴唇極度乾燥、脫皮，追求像奶油般的絲滑感。	極乾唇、脫皮肌 (多種香味可選)
魔唇 THERAPIND 夜間修護霜	有機芝麻精華、薰衣草油、厚敷密封技術。	隔天早上嘴唇依舊乾燥、死皮堆積無法上口紅。	乾性肌 (睡前加強)
凡士林 全能精華潤唇膏 (淡紋)	高純度凡士林、三肽、維他命E。	唇部老化、深刻唇紋、失去彈性的乾癟感。	熟齡肌、有抗老需求者
曼秀雷敦 Lip Pure 純淨植物	100% 食品級成分、植物精萃油 (香橙/無香)。	擔心化學成分吃進肚子、對人工香料敏感。	敏感肌、孕婦、自然派保養者
曼秀雷敦 Magic Color 變色潤唇膏	溫感變色技術、蜂王漿、麥蘆卡蜂蜜。	臉色蒼白沒氣色、懶得化妝但想要自然粉嫩唇色。	全膚質、學生族 (偽素顏必備)
小蜜媞 Carmex 修護唇膏 (軟管)	可可脂、羊毛脂、薄荷醇。	嘴角龜裂、嚴重的唇部不適、追求清涼鎮定感。	受損肌、重度乾燥者
凡士林 經典滋潤護唇膏 (棒狀)	凡士林修護微晶凍、維他命E。	基礎日常保濕、不喜歡軟管沾手的油膩感。	一般肌、小資族 (高 CP 基礎款)
雪芙蘭 經典滋潤護唇膏 (維他命E)	維他命 E、乳木果油、國民長青配方。	預算極低但需要穩定保濕、支持在地老品牌。	全膚質 (校園/學生族推薦)
曼秀雷敦 薄荷潤唇凍膏 (軟管)	薄荷清爽配方、密封滋潤質地。	悶熱夏天不喜歡厚重感、嘴唇發熱乾裂需要降溫。	一般肌、喜好清涼感者
澳洲神奇萬用木瓜霜	發酵木瓜、高濃度凡士林	嘴唇乾裂到流血、指緣脫皮、輕微燙傷/蚊蟲叮咬。	極乾肌、醫美術後
施巴潤澤護唇膏 SPF30	pH5.5、維他命E、物理/化學防曬	唇部容易曬黑、暗沉，戶外運動導致的唇部灼熱感。	敏感肌、機車族、學生戶外活動
曼秀雷敦 Magic Color	變色因子、蜂蠟、乳木果油	氣色差但不想擦口紅、追求自然紅潤感、懶人妝。	一般膚質、學生/面試族
專科 彈潤護唇精華	玻尿酸、膠原蛋白、精華質地	唇紋極深、嘴唇看起來乾癟、上霧面口紅會卡粉。	缺水性唇部、輕熟齡肌
凡士林白桃修護護唇膏	經典純化油脂、白桃香氛	預算有限但需要基礎長效鎖水、喜歡果香味。	一般/健康膚質、學生族
京城之霜 豐蜜養潤護唇膏	蜂蜜、蜂王乳、植萃修護技術	唇部鬆弛、唇周暗沉、追求頂級滋養感。	熟齡肌、長期熬夜導致的唇部衰老
魔唇 護唇膏(滋潤)	高保濕油脂、日本保濕配方	夜間嘴唇乾癢、睡醒後依然有死皮。	夜間修護需求者
SKINTIFIC 莓果唇部精華	莓果萃取、精華液包覆技術	追求高亮澤嘟嘟唇效果、想要護理與亮色二合一。	時尚/彩妝愛好者、乾燥唇
理膚寶水 全面修復潤唇膏	5% 泛醇 (B5)、神經醯胺修復	唇炎反覆發作、醫美術後修復、嚴重乾裂	敏感肌、唇炎困擾者
雅漾 舒緩乾裂修護護唇膏	冷霜成分、雅漾舒護活泉水	舒緩灼熱感、長效封閉保護	極乾燥肌、術後修復
CeraVe 適樂膚 修復護唇膏	三種神經醯胺、玻尿酸	屏障受損、唇部乾燥發癢	屏障受損肌、所有膚質
